timestamp,position 1,command_position 1,velocity 1,torque 1,power 1,pressure 1,foot_contact 1,position 3,command_position 3,velocity 3,torque 3,power 3,pressure 3,foot_contact 3
1721651563.893161,-0.7648,0.0628,-0.0505,0.0,0.0,101.2081,False,1.9978,0.0628,-0.0826,0.0,0.0,103.6675,False
1721651563.9178967,-0.755,-6.2832,1.2816,-0.083,0.075,101.2081,False,1.9876,-3.1416,-1.2146,0.0143,0.0045,103.7212,True
1721651563.9477952,-0.8165,-6.2832,-4.1119,0.0776,0.0204,101.1144,False,1.8952,-3.1416,-5.2968,0.0012,0.0127,103.4525,True
1721651563.978412,-0.9622,-6.2832,-7.7232,0.0302,0.0327,101.2081,False,1.7119,-3.1416,-8.5577,0.0066,-0.0244,103.56,True
1721651564.0097497,-1.2007,-6.2832,-10.7134,0.0383,-0.0294,101.2081,False,1.435,-3.1416,-11.7004,-0.01,0.0648,103.8288,True
1721651564.041819,-1.5333,-6.2832,-13.5135,0.004,0.0329,101.0206,False,1.0668,-3.1416,-14.8108,-0.0161,0.0336,103.9362,True
1721651564.0721507,-1.9674,-6.2832,-16.982,0.0093,-0.0736,101.1612,False,0.6083,-3.1416,-17.8264,-0.0047,0.0611,103.7212,True
1721651564.103,-2.4833,-6.2832,-19.5607,0.0038,-0.0109,101.1612,False,0.0673,-3.1416,-21.499,0.0148,-0.3346,103.8288,True
1721651564.1343126,-3.1111,-6.2832,-22.8188,0.0137,0.0271,101.2081,False,-0.5651,-3.1416,-24.2196,-0.0097,0.222,103.2912,True
1721651564.1647885,-3.801,-6.2832,-25.3468,-0.005,0.2613,101.1612,False,-1.2643,-3.1416,-28.5589,0.011,-0.1257,102.5206,True
1721651564.1949422,-4.5606,0.0628,-25.7577,-0.0669,1.7779,101.1144,False,-1.9305,0.0628,-21.5803,-0.1769,3.5457,102.0987,False
1721651564.2264276,-5.2171,0.0628,-20.0247,-0.1655,3.3834,101.1612,False,-2.5239,0.0628,-17.3242,-0.1891,3.3562,101.9112,False
1721651564.2564986,-5.7648,0.0628,-15.9262,-0.1794,3.078,101.1144,False,-2.99,0.0628,-13.6312,-0.159,2.289,101.7237,False
1721651564.2864492,-6.1691,0.0628,-12.4825,-0.1652,2.0669,101.3956,False,-3.3244,0.0628,-10.1498,-0.1265,1.3049,101.9581,False
1721651564.3182826,-6.4637,0.0628,-8.16,-0.1558,1.3039,101.3019,False,-3.565,0.0628,-5.9944,-0.1512,1.0831,102.005,False
1721651564.3480449,-6.6216,0.0628,-4.0341,-0.1498,0.6478,101.1612,False,-3.6816,0.0628,-2.4788,-0.1345,0.3875,101.7706,False
1721651564.3787212,-6.6539,0.0628,0.4458,-0.1657,0.1629,101.1144,False,-3.6884,0.0628,0.9439,-0.048,0.0122,101.7706,False
1721651564.4080896,-6.5772,0.0628,4.0456,-0.1095,-0.0235,101.1612,False,-3.5954,0.0628,4.1763,-0.0406,-0.0095,101.8644,False
1721651564.438088,-6.3947,0.0628,7.4715,-0.0712,-0.0728,101.1144,False,-3.4186,0.0628,7.9164,0.001,0.0007,101.7706,False
1721651564.4682293,-6.1025,0.0628,11.332,-0.102,-0.3715,101.1144,False,-3.1528,0.0628,11.0427,-0.005,-0.0307,101.8644,False
1721651564.498827,-5.6941,0.0628,15.3258,-0.1364,-0.9378,101.1144,False,-2.7829,0.0628,14.4823,-0.0131,-0.1212,101.7706,False
1721651564.5284219,-5.192,0.0628,18.4551,-0.0933,-0.9711,101.1144,False,-2.3402,0.0628,17.8357,-0.0071,-0.053,101.5831,False
1721651564.5590665,-4.5841,0.0628,22.2779,-0.0713,-1.0252,101.1612,False,-1.7906,0.0628,20.5749,-0.0005,0.0039,101.6769,False
1721651564.5901566,-3.8601,0.0628,26.0235,-0.0378,-0.7189,101.2081,False,-1.1531,0.0628,22.1518,0.0239,0.4931,101.5831,False
1721651564.6208713,-3.0547,0.0628,29.337,-0.0169,-0.3594,101.1612,False,-0.6091,0.0628,16.7805,0.1085,1.7531,101.5831,False
1721651564.6508412,-2.1445,0.0628,29.8481,-0.0142,-0.3745,101.4894,False,-0.161,0.0628,12.5941,0.1136,1.6411,101.5831,False
1721651564.681981,-1.3118,0.0628,24.0832,0.1727,4.671,101.2081,False,0.186,0.0628,9.0293,0.1349,1.4228,101.5362,False
1721651564.711785,-0.6059,0.0628,21.8445,0.0756,1.5393,101.1144,False,0.4033,0.0628,4.843,0.1515,1.035,101.3487,False
1721651564.7419188,-0.0098,0.0628,17.7303,0.1225,2.3592,101.1144,False,0.5189,0.0628,1.3436,0.1816,0.7683,101.4894,False
1721651564.7731938,0.5053,0.0628,13.8006,0.167,2.3502,101.1144,False,0.5291,0.0628,-1.7825,0.129,0.1714,101.5831,False
1721651564.804216,0.8754,0.0628,10.0647,0.1344,1.4932,101.3019,False,0.4394,0.0628,-5.6862,0.034,-0.0069,101.4425,False
1721651564.834995,1.1393,0.0628,6.7625,0.1354,0.9799,101.2081,False,0.2578,0.0628,-8.5954,0.0174,-0.0616,101.4425,False
1721651564.8646774,1.2895,0.0628,3.5093,0.0823,0.3498,101.1612,False,0.0995,0.0628,-3.0951,-0.1346,0.8397,101.5831,False
1721651564.8970006,1.3382,0.0628,-0.4064,0.1364,0.2202,101.1612,False,0.0297,0.0628,0.2365,-0.1718,0.4052,101.5831,False
1721651564.9279234,1.2887,0.0628,-4.1017,0.12,0.0464,101.1612,False,0.0534,0.0628,2.4534,-0.048,0.0255,101.5362,False
1721651564.9582813,1.1488,0.0628,-6.452,0.0072,-0.0143,101.1612,False,0.0523,0.0628,-0.2986,0.0168,0.0034,101.4894,False
1721651564.9885743,0.9109,0.0628,-9.9324,0.0043,-0.0172,101.1612,False,0.0529,0.0628,-0.1602,0.0178,0.0026,101.3487,False
1721651565.0181046,0.5994,0.0628,-13.0805,0.0012,0.0238,101.2081,False,0.0529,0.0628,-0.303,0.0265,0.0065,101.5362,False
1721651565.0482156,0.28,0.0628,-9.2744,-0.1192,1.1235,101.3019,False,0.0542,0.0628,-0.1659,0.0003,0.0021,101.4425,False
1721651565.079121,0.061,0.0628,-4.7891,-0.1698,1.088,101.2081,False,0.0545,0.0628,-0.0239,-0.0036,0.0014,101.4894,False
1721651565.1087267,-0.0475,0.0628,-1.8995,-0.0991,0.2952,101.2081,False,0.0542,0.0628,-0.1396,0.0094,0.0009,101.63,False
1721651565.1400883,-0.0466,0.0628,1.4061,-0.0801,0.0536,101.255,False,0.0545,0.0628,-0.0133,0.0087,-0.0012,101.3956,False
1721651565.1699448,0.0387,0.0628,3.938,-0.027,-0.0077,101.1144,False,0.0535,0.0628,-0.1432,0.0041,-0.0003,101.4894,False
1721651565.199878,0.0591,0.0628,0.3256,0.0089,-0.0,101.1612,False,0.0538,0.0628,-0.1573,0.0128,-0.0008,101.7706,False
1721651565.2300346,0.0693,0.0628,0.1881,-0.0163,0.0022,101.2081,False,0.0541,0.0628,-0.0295,0.0087,-0.0011,101.5831,False
1721651565.2621477,0.0704,0.0628,-0.0366,0.0007,-0.0005,101.255,False,0.0546,0.0628,-0.0291,0.0051,0.0009,101.5362,False
1721651565.292078,0.0713,0.0628,0.0672,-0.0054,0.0006,101.2081,False,0.0556,0.0628,0.055,0.0043,-0.0013,101.6769,False
1721651565.323864,0.0716,0.0628,0.0356,-0.0038,-0.001,101.2081,False,0.0558,0.0628,0.049,0.0002,0.0012,101.5831,False
1721651565.3536868,0.0722,0.0628,0.2039,-0.0121,0.0007,101.2081,False,0.056,0.0628,-0.0927,0.0171,-0.0001,101.5831,False
1721651565.383878,0.0719,0.0628,0.1176,-0.0046,-0.0,101.2081,False,0.0565,0.0628,0.0474,-0.0043,0.0005,101.4894,False
1721651565.4147363,0.0722,0.0628,0.1471,-0.0158,0.0007,101.255,False,0.0562,0.0628,0.0156,-0.0042,0.0009,101.5362,False
1721651565.4459283,0.0724,0.0628,0.2176,-0.0195,-0.0001,101.1612,False,0.0564,0.0628,0.0277,0.0044,-0.0003,101.4894,False
1721651565.4755392,0.0722,0.0628,0.2012,-0.0066,-0.0014,101.1612,False,0.056,0.0628,-0.1297,0.0001,0.0007,101.4894,False
1721651565.50748,0.0712,0.0628,0.0382,-0.0008,0.0005,101.2081,False,0.0566,0.0628,0.1397,-0.0087,0.002,101.4894,False
1721651565.5376415,0.0719,0.0628,0.1759,-0.0054,0.0014,101.2081,False,0.0561,0.0628,0.1326,-0.0087,0.0027,101.5831,False
1721651565.568288,0.0714,0.0628,0.129,-0.0183,0.0015,101.1612,False,0.0553,0.0628,0.0156,0.0007,0.0016,101.5362,False
1721651565.5984137,0.0712,0.0628,0.0448,-0.0,-0.0,101.0675,False,0.055,0.0628,-0.1618,0.0129,0.0011,101.4425,False
1721651565.6303098,0.071,0.0628,-0.0508,0.0091,0.0021,101.255,False,0.0568,0.0628,0.1802,-0.0088,0.001,101.63,False
1721651565.6599383,0.0719,0.0628,0.1483,-0.0121,-0.0009,101.255,False,0.0554,0.0628,-0.1501,0.013,0.0009,101.4425,False
1721651565.6913626,0.072,0.0628,0.1479,-0.0038,0.0,101.2081,False,0.0563,0.0628,0.078,0.0131,-0.0034,101.5831,False
1721651565.7239692,0.0718,0.0628,0.084,-0.0067,-0.0026,101.2081,False,0.0562,0.0628,-0.0677,-0.0088,-0.0018,101.4894,False
1721651565.752217,0.0717,0.0628,0.0983,-0.0092,-0.0005,101.2081,False,0.0559,0.0628,-0.1035,0.0086,-0.001,101.5362,False
1721651565.7836633,0.0717,0.0628,0.0758,-0.0054,-0.0002,101.3487,False,0.0568,0.0628,0.2248,-0.0042,0.0038,101.4894,False
1721651565.8147364,0.0715,0.0628,0.045,-0.0084,-0.0013,101.255,False,0.0562,0.0628,0.072,-0.0086,-0.0,101.5831,False
1721651565.84503,0.0719,0.0628,0.1844,-0.0067,-0.0014,101.255,False,0.0564,0.0628,0.0792,0.0045,-0.0005,101.5362,False
1721651565.8762548,0.0721,0.0628,0.1717,-0.0104,-0.0024,101.2081,False,0.0558,0.0628,0.0117,-0.0085,0.0026,101.4894,False
1721651565.9067285,0.072,0.0628,0.1233,-0.0222,0.0005,101.255,False,0.0565,0.0628,0.1337,-0.0043,0.0036,101.3956,False
1721651565.9373882,0.0712,0.0628,-0.0176,-0.0038,-0.0011,101.2081,False,0.0563,0.0628,0.1133,0.0001,0.0006,101.4894,False
1721651565.9673584,0.0718,0.0628,0.1835,-0.0197,0.0003,101.2081,False,0.0555,0.0628,-0.1334,0.0172,-0.0008,101.63,False
1721651565.9743834,0.0724,0.0628,-0.2547,-0.0092,-0.0004,101.255,False,0.0552,0.0628,0.159,-0.0036,0.0016,101.4894,False
1721651565.9984903,0.0705,0.0628,-0.2052,-0.0116,-0.0058,101.3019,False,0.0571,0.0628,0.1266,0.0087,-0.0018,101.5831,False
1721651566.0298965,0.072,0.0628,0.1499,-0.0038,-0.0004,101.2081,False,0.0564,0.0628,0.1419,-0.0131,0.0004,101.4425,False
1721651566.0597906,0.072,0.0628,0.2852,-0.0147,0.0054,101.2081,False,0.0546,0.0628,-0.3592,0.0087,0.0028,101.5362,False
1721651566.0901036,0.0718,0.0628,0.1247,-0.0138,0.001,101.1612,False,0.056,0.0628,0.0015,0.0179,0.0017,101.3487,False
1721651566.1199405,0.0724,0.0628,0.2251,-0.0075,-0.0006,101.3019,False,0.0554,0.0628,-0.2159,0.0043,0.0003,101.3956,False
1721651566.1512678,0.0721,0.0628,0.142,-0.0121,-0.0016,101.255,False,0.0569,0.0628,0.1261,-0.0043,0.002,101.5831,False
1721651566.1812956,0.0719,0.0628,0.0804,-0.0113,-0.0037,101.255,False,0.0559,0.0628,0.0333,-0.0043,0.0011,101.4425,False
1721651566.21189,0.0717,0.0628,0.1235,-0.0063,0.0006,101.2081,False,0.0555,0.0628,-0.1177,-0.0045,-0.0006,101.5362,False
1721651566.2423403,0.072,0.0628,0.203,0.0017,0.0007,101.2081,False,0.0562,0.0628,0.0746,0.0088,-0.0016,101.3487,False
1721651566.2735713,0.0716,0.0628,0.0283,0.0076,0.002,101.2081,False,0.0559,0.0628,0.0145,0.0084,-0.0028,101.3956,False
1721651566.3045459,0.0719,0.0628,0.1268,-0.0029,-0.0014,101.3487,False,0.056,0.0628,-0.0331,-0.0044,0.0,101.3487,False
1721651566.3340542,0.0722,0.0628,0.2018,-0.0092,0.0013,101.2081,False,0.0551,0.0628,-0.1339,0.0045,0.0005,101.3956,False
1721651566.3655958,0.072,0.0628,0.1655,0.0017,-0.0002,101.255,False,0.0558,0.0628,0.0238,-0.0043,0.0005,101.4894,False
1721651566.3953047,0.0715,0.0628,0.0825,-0.0092,0.0,101.255,False,0.0554,0.0628,-0.0994,0.0089,0.0005,101.4425,False
1721651566.4266362,0.0719,0.0628,0.1584,-0.0046,0.0005,101.1612,False,0.0562,0.0628,0.0225,0.0001,-0.0007,101.4425,False
1721651566.4573438,0.0721,0.0628,0.1886,-0.0167,0.0004,101.1144,False,0.0565,0.0628,0.0505,0.0046,0.0007,101.4425,False
1721651566.4877572,0.0719,0.0628,0.1895,-0.0075,0.0,101.2081,False,0.0562,0.0628,0.061,0.0,-0.0,101.5831,False
1721651566.5181255,0.0717,0.0628,0.1139,-0.0167,-0.0011,101.1612,False,0.0557,0.0628,-0.0604,-0.0043,0.001,101.4425,False
1721651566.548634,0.0716,0.0628,0.1594,-0.0159,0.0001,101.1144,False,0.0561,0.0628,0.0305,0.0133,-0.0017,101.4425,False
1721651566.578714,0.0718,0.0628,0.191,-0.0084,0.0008,101.2081,False,0.0557,0.0628,-0.0201,-0.0087,0.0007,101.4425,False
1721651566.6090293,0.0719,0.0628,0.2576,-0.0222,0.0067,101.1612,False,0.0561,0.0628,-0.033,-0.013,0.0006,101.3487,False
1721651566.6377747,0.0715,0.0628,0.0537,0.0054,-0.0007,101.255,False,0.0555,0.0628,-0.0626,0.0047,0.0011,101.4894,False
1721651566.668451,0.0716,0.0628,0.0946,-0.0092,-0.0007,101.1612,False,0.056,0.0628,0.0719,-0.0,0.0,101.5831,False
1721651566.700063,0.0722,0.0628,0.2257,-0.0167,0.0012,101.2081,False,0.0559,0.0628,-0.0312,-0.0044,-0.0003,101.3956,False
1721651566.73144,0.0716,0.0628,0.0925,-0.0092,-0.0,101.2081,False,0.0566,0.0628,0.1027,0.0042,-0.0015,101.3956,False
1721651566.7600524,0.0717,0.0628,0.1552,-0.0,-0.0,101.3019,False,0.0561,0.0628,0.0472,-0.0043,0.001,101.4894,False
1721651566.7909565,0.0721,0.0628,0.2175,-0.0259,0.0005,101.255,False,0.0558,0.0628,-0.0923,0.0039,-0.002,101.4425,False
1721651566.8222942,0.0716,0.0628,0.0853,0.0,-0.0,101.2081,False,0.0569,0.0628,0.2056,-0.0001,-0.0004,101.4894,False
1721651566.8531904,0.0715,0.0628,0.0785,-0.0038,-0.0007,101.1144,False,0.056,0.0628,0.0808,0.0003,0.0008,101.3487,False
1721651566.8837893,0.0723,0.0628,0.26,-0.0112,-0.0006,101.1612,False,0.0557,0.0628,-0.0682,0.0087,0.0004,101.3019,False
1721651566.9134195,0.0716,0.0628,0.1658,-0.0038,0.0002,101.1612,False,0.0561,0.0628,0.04,0.0003,0.0009,101.5831,False
1721651566.9443235,0.0719,0.0628,0.1101,-0.0084,-0.0002,101.2081,False,0.0567,0.0628,0.1808,-0.0089,0.0008,101.3019,False
1721651566.9745188,0.0715,0.0628,0.1278,-0.0167,0.0006,101.3487,False,0.0556,0.0628,-0.1394,0.0172,-0.0001,101.3956,False
1721651567.0039122,0.0723,0.0628,0.1787,-0.0075,-0.0011,101.3019,False,0.0557,0.0628,-0.1454,0.0176,0.0034,101.4425,False
1721651567.0358572,0.0717,0.0628,0.1476,-0.0038,-0.0002,101.2081,False,0.0568,0.0628,0.2784,0.0001,0.0006,101.4894,False
1721651567.066922,0.0714,0.0628,0.0191,-0.0122,-0.0032,101.2081,False,0.056,0.0628,0.0377,-0.013,-0.0006,101.4425,False
1721651567.0982494,0.0721,0.0628,0.1863,-0.0121,0.0004,101.3019,False,0.0558,0.0628,0.0418,-0.0087,0.0019,101.4425,False
1721651567.128123,0.0716,0.0628,0.0937,-0.0076,-0.0012,101.255,False,0.0558,0.0628,-0.0387,-0.0,0.0,101.3019,False
1721651567.1586483,0.0721,0.0628,0.2356,-0.015,-0.0007,101.1144,False,0.0555,0.0628,-0.1861,0.0174,0.0032,101.5362,False
1721651567.1905198,0.0716,0.0628,0.0356,0.0,-0.0005,100.9737,False,0.0562,0.0628,-0.0372,0.0087,0.0,101.4425,False
1721651567.2198913,0.0722,0.0628,0.3003,-0.0196,0.0015,101.3019,False,0.0554,0.0628,-0.2067,0.0259,0.0008,101.3956,False
1721651567.2498097,0.0713,0.0628,0.044,0.0016,-0.0016,101.255,False,0.0563,0.0628,0.1095,-0.0,0.0,101.5362,False
1721651567.2810538,0.0722,0.0628,0.1846,-0.0121,0.0012,101.255,False,0.0564,0.0628,0.0602,-0.0044,0.0002,101.3487,False
1721651567.3112388,0.0716,0.0628,0.0964,0.007,-0.0016,101.3487,False,0.0556,0.0628,-0.1088,0.0044,0.0008,101.3956,False
1721651567.3424492,0.0722,0.0628,0.1522,-0.0213,-0.0005,101.255,False,0.0568,0.0628,0.1671,-0.0043,0.0015,101.4894,False
1721651567.373651,0.0722,0.0628,0.1844,-0.0101,0.001,101.2081,False,0.0562,0.0628,0.0727,-0.0086,0.0022,101.3956,False
1721651567.404342,0.0718,0.0628,0.1835,-0.013,0.0011,101.255,False,0.0557,0.0628,-0.1011,0.0133,0.0013,101.5831,False
1721651567.434925,0.0718,0.0628,0.1031,-0.01,0.0012,101.1612,False,0.0553,0.0628,-0.1088,0.0172,-0.0011,101.4425,False
1721651567.464871,0.0715,0.0628,0.0233,-0.0076,-0.0027,101.255,False,0.0559,0.0628,0.0095,-0.0083,0.002,101.4425,False
1721651567.497337,0.0716,0.0628,0.1391,-0.003,-0.0012,101.2081,False,0.0558,0.0628,0.0634,-0.0044,0.0004,101.3956,False
1721651567.5274117,0.0723,0.0628,0.2981,-0.0196,0.0008,101.2081,False,0.0556,0.0628,-0.1063,0.0171,-0.0008,101.3956,False
1721651567.5567486,0.0716,0.0628,0.0757,0.013,-0.0006,101.2081,False,0.0554,0.0628,-0.0819,0.0043,0.0,101.3019,False
1721651567.5872567,0.0721,0.0628,0.2103,-0.0121,0.0003,101.2081,False,0.0555,0.0628,-0.1442,0.0089,0.0012,101.4894,False
1721651567.6188078,0.0717,0.0628,0.0923,-0.0013,-0.0039,101.255,False,0.0562,0.0628,0.085,-0.0085,0.0041,101.3956,False
1721651567.6478739,0.0722,0.0628,0.2977,-0.0251,0.0078,101.3019,False,0.0549,0.0628,-0.278,0.0129,0.0016,101.5362,False
1721651567.6784484,0.0718,0.0628,0.1185,-0.0092,-0.0003,101.3019,False,0.0555,0.0628,-0.0648,0.0089,0.0001,101.3487,False
1721651567.709114,0.0722,0.0628,0.2773,-0.0167,0.0043,101.2081,False,0.0555,0.0628,-0.1536,0.0085,0.0011,101.4894,False
1721651567.7387924,0.0722,0.0628,0.2421,-0.0251,0.0029,101.3019,False,0.0565,0.0628,0.0482,0.0088,-0.0006,101.4425,False
1721651567.7698143,0.0722,0.0628,0.302,-0.0233,0.0081,101.2081,False,0.0564,0.0628,0.1249,-0.0131,0.0031,101.4425,False
1721651567.801207,0.0718,0.0628,0.1098,-0.0008,0.0006,101.3019,False,0.0564,0.0628,0.1088,0.0086,-0.0026,101.4425,False
1721651567.83197,0.0718,0.0628,0.1924,-0.0084,0.0009,101.2081,False,0.0561,0.0628,-0.0451,-0.0,-0.0,101.3956,False
1721651567.8635356,0.0716,0.0628,0.1332,-0.0076,-0.0007,101.3019,False,0.0558,0.0628,-0.0247,0.0043,-0.0008,101.5362,False
1721651567.8944316,0.0714,0.0628,0.0913,-0.0092,0.0004,101.3019,False,0.0557,0.0628,-0.1356,0.0261,0.0019,101.4894,False
1721651567.9247487,0.0716,0.0628,0.1041,-0.0122,0.0001,101.3019,False,0.0563,0.0628,0.0734,0.0131,-0.0015,101.5831,False
1721651567.9564183,0.0712,0.0628,0.0165,-0.0038,-0.0011,101.2081,False,0.056,0.0628,-0.0187,0.0219,-0.0028,101.3956,False
1721651567.9858425,0.0718,0.0628,0.1615,-0.0059,-0.003,101.255,False,0.0547,0.0628,-0.3364,0.0213,0.0058,101.5831,False
1721651568.015963,0.0716,0.0628,0.1462,-0.0076,0.0,101.2081,False,0.0563,0.0628,0.0421,0.0041,-0.0027,101.3956,False
1721651568.0470724,0.0718,0.0628,0.1704,-0.013,-0.003,101.255,False,0.0562,0.0628,0.0313,-0.0042,0.0006,101.4894,False
1721651568.0766568,0.0717,0.0628,0.1454,-0.0121,-0.0001,101.255,False,0.0551,0.0628,-0.2601,0.0177,0.0032,101.5362,False
1721651568.1071703,0.0716,0.0628,0.079,-0.0076,-0.0017,101.2081,False,0.056,0.0628,0.0176,0.0001,0.0004,101.5362,False
1721651568.1376278,0.0721,0.0628,0.2082,-0.0104,-0.001,101.3019,False,0.0559,0.0628,-0.0391,0.0084,-0.0003,101.4894,False
1721651568.168015,0.0721,0.0628,0.1843,-0.0121,-0.0007,101.1612,False,0.0557,0.0628,-0.0535,0.013,-0.0013,101.4425,False
1721651568.1992314,0.0712,0.0628,0.0326,-0.003,-0.0015,101.2081,False,0.0563,0.0628,0.14,-0.0043,0.0014,101.4894,False
1721651568.2288346,0.0716,0.0628,0.0765,-0.0097,-0.0037,101.2081,False,0.0563,0.0628,0.0375,0.0046,0.0005,101.5831,False
1721651568.259928,0.0715,0.0628,0.1378,-0.0092,0.0017,101.3019,False,0.0561,0.0628,0.0234,-0.0001,-0.0007,101.4894,False
1721651568.2907617,0.0718,0.0628,0.1516,0.0063,-0.0016,101.3019,False,0.0557,0.0628,-0.0437,0.0087,0.0003,101.4894,False
1721651568.3219268,0.0713,0.0628,-0.0536,0.0,0.0,101.1144,False,0.0564,0.0628,-0.0007,0.0131,-0.0003,101.5831,False
1721651568.3531775,0.0722,0.0628,0.2208,-0.0112,0.0001,101.255,False,0.0561,0.0628,0.0188,0.0001,0.0005,101.4894,False
1721651568.3829575,0.0722,0.0628,0.1873,-0.0167,0.003,101.3019,False,0.0554,0.0628,-0.1259,0.0174,0.0003,101.3487,False
1721651568.4137356,0.0718,0.0628,0.1438,-0.0121,0.0005,101.3487,False,0.0552,0.0628,-0.2181,0.0132,0.0035,101.255,False
1721651568.4437473,0.0723,0.0628,0.2354,-0.0037,0.0002,101.2081,False,0.056,0.0628,0.0525,0.0004,0.002,101.3956,False
1721651568.473334,0.072,0.0628,0.27,-0.0251,0.0053,101.255,False,0.0555,0.0628,-0.1319,0.0091,0.0017,101.3487,False
1721651568.5028265,0.0724,0.0628,0.2012,-0.025,-0.0013,101.3019,False,0.0552,0.0628,-0.224,0.0092,0.004,101.3019,False
1721651568.534375,0.0718,0.0628,0.0619,0.0046,0.0009,101.2081,False,0.0558,0.0628,0.0323,-0.0,0.0,101.3956,False
1721651568.5652764,0.0719,0.0628,0.1919,-0.0084,0.0008,101.1612,False,0.056,0.0628,0.0215,0.0087,-0.002,101.3956,False
1721651568.5972142,0.0719,0.0628,0.1004,-0.0029,-0.0003,101.3019,False,0.056,0.0628,0.0623,-0.0044,0.0008,101.4894,False
1721651568.6271467,0.0718,0.0628,0.1431,-0.013,0.0002,101.255,False,0.0559,0.0628,-0.0739,0.0086,-0.0005,101.4425,False
1721651568.657182,0.0724,0.0628,0.2763,-0.0279,0.0026,101.3487,False,0.0555,0.0628,-0.0782,0.0172,-0.0014,101.3956,False
1721651568.6878095,0.0717,0.0628,0.0888,-0.0092,-0.0004,101.2081,False,0.0563,0.0628,0.0441,0.0085,-0.0021,101.4894,False
1721651568.7177513,0.0723,0.0628,0.2249,-0.0095,-0.0024,101.1144,False,0.056,0.0628,-0.0264,0.0046,0.0002,101.2081,False
1721651568.7477045,0.0717,0.0628,0.085,0.0,0.0,101.255,False,0.056,0.0628,-0.0375,-0.0002,-0.0006,101.3956,False
1721651568.7776952,0.0725,0.0628,0.2875,-0.0149,-0.0,101.3487,False,0.0563,0.0628,0.0309,-0.013,0.0009,101.3487,False
1721651568.8082316,0.0721,0.0628,0.1883,-0.0046,0.0027,101.3019,False,0.0552,0.0628,-0.2089,0.0214,0.0038,101.4894,False
1721651568.8378558,0.0717,0.0628,0.128,-0.0159,-0.0001,101.1612,False,0.0553,0.0628,-0.1745,0.0085,0.0006,101.3487,False
1721651568.8678515,0.0719,0.0628,0.1901,-0.0058,-0.0021,101.255,False,0.0555,0.0628,-0.1589,0.0132,0.0017,101.3019,False
1721651568.8989692,0.0719,0.0628,0.1496,-0.0167,0.0011,101.3487,False,0.0558,0.0628,-0.0388,0.0043,-0.0003,101.4425,False
1721651568.9281013,0.0723,0.0628,0.2777,-0.015,0.0019,101.3956,False,0.0563,0.0628,0.0348,0.0043,0.0002,101.5362,False
1721651568.9589486,0.0718,0.0628,0.147,-0.0167,-0.0,101.2081,False,0.0558,0.0628,0.0221,-0.0128,0.0021,101.4425,False
1721651568.9913068,0.072,0.0628,0.1594,-0.013,0.0007,101.1612,False,0.0557,0.0628,-0.0513,0.0089,0.0008,101.4425,False
1721651569.020902,0.072,0.0628,0.1136,-0.0075,-0.0011,101.3019,False,0.056,0.0628,-0.0448,-0.0044,-0.0005,101.3956,False
1721651569.0511525,0.0721,0.0628,0.2178,-0.0066,-0.0005,101.2081,False,0.0562,0.0628,0.0396,0.0,-0.0028,101.5831,False
1721651569.0820186,0.0719,0.0628,0.1536,0.0054,-0.0011,101.3019,False,0.0558,0.0628,-0.0479,-0.0043,0.0006,101.2081,False
1721651569.1121118,0.0721,0.0628,0.2006,-0.0167,0.0027,101.3019,False,0.0555,0.0628,-0.1241,0.0085,-0.0005,101.3487,False
1721651569.1427753,0.072,0.0628,0.2151,-0.0205,0.0008,101.255,False,0.0562,0.0628,-0.0367,0.0131,-0.0002,101.3956,False
1721651569.173546,0.0716,0.0628,0.0252,-0.003,-0.0019,101.3019,False,0.0562,0.0628,0.07,0.0044,-0.0007,101.5362,False
1721651569.2035136,0.0717,0.0628,0.1258,-0.0038,0.0009,101.3019,False,0.0556,0.0628,-0.2194,0.0172,0.0024,101.4894,False
1721651569.233558,0.0723,0.0628,0.2711,-0.0112,0.0014,101.3019,False,0.0559,0.0628,-0.1139,0.0216,0.0032,101.3487,False
1721651569.2648907,0.0712,0.0628,-0.0166,-0.013,-0.0031,101.2081,False,0.0556,0.0628,-0.0245,0.0132,0.0,101.4425,False
1721651569.2944782,0.0716,0.0628,0.1445,-0.0143,-0.002,101.3019,False,0.056,0.0628,-0.0067,0.0044,-0.0005,101.4425,False
1721651569.3260841,0.0717,0.0628,0.0847,-0.0075,-0.0017,101.3019,False,0.0565,0.0628,0.0418,0.0,-0.0,101.3019,False
1721651569.3576977,0.0714,0.0628,0.0277,0.0068,0.0018,101.3019,False,0.0569,0.0628,0.1239,-0.0087,0.0022,101.3487,False
1721651569.387865,0.0717,0.0628,0.0589,-0.0029,-0.0016,101.255,False,0.0566,0.0628,0.0843,0.0001,0.0004,101.4425,False
1721651569.4189968,0.0721,0.0628,0.1367,-0.0029,-0.0014,101.3487,False,0.056,0.0628,-0.0526,0.0128,-0.0004,101.255,False
1721651569.4505696,0.0714,0.0628,0.0117,-0.0038,-0.0012,101.2081,False,0.0561,0.0628,-0.0448,0.013,0.0005,101.5831,False
1721651569.4809694,0.0716,0.0628,-0.0005,0.003,0.0012,101.255,False,0.0564,0.0628,0.1053,-0.0042,0.0017,101.4425,False
1721651569.5125623,0.0716,0.0628,0.012,0.0,0.0,101.3019,False,0.0564,0.0628,0.0846,-0.0002,-0.0021,101.4894,False
